ct,n,h,td,d_ref
HEAT_HIGH_T,GERMANY,8,10,23.65296803652969
HEAT_HIGH_T,GERMANY,8,11,23.65296803652969
HEAT_HIGH_T,GERMANY,8,12,23.65296803652969
HEAT_HIGH_T,GERMANY,9,1,23.65296803652969
HEAT_HIGH_T,GERMANY,9,2,23.65296803652969
HEAT_HIGH_T,GERMANY,9,3,23.65296803652969
HEAT_HIGH_T,GERMANY,9,4,23.65296803652969
HEAT_HIGH_T,GERMANY,9,5,23.65296803652969
HEAT_HIGH_T,GERMANY,9,6,23.65296803652969
HEAT_HIGH_T,GERMANY,9,7,23.65296803652969
HEAT_HIGH_T,GERMANY,9,8,23.65296803652969
HEAT_HIGH_T,GERMANY,9,9,23.65296803652969
HEAT_HIGH_T,GERMANY,9,10,23.65296803652969
HEAT_HIGH_T,GERMANY,9,11,23.65296803652969
HEAT_HIGH_T,GERMANY,9,12,23.65296803652969
HEAT_HIGH_T,GERMANY,10,1,23.65296803652969
HEAT_HIGH_T,GERMANY,10,2,23.65296803652969
HEAT_HIGH_T,GERMANY,10,3,23.65296803652969
HEAT_HIGH_T,GERMANY,10,4,23.65296803652969
HEAT_HIGH_T,GERMANY,10,5,23.65296803652969
HEAT_HIGH_T,GERMANY,10,6,23.65296803652969
HEAT_HIGH_T,GERMANY,10,7,23.65296803652969
HEAT_HIGH_T,GERMANY,10,8,23.65296803652969
HEAT_HIGH_T,GERMANY,10,9,23.65296803652969
HEAT_HIGH_T,GERMANY,10,10,23.65296803652969
HEAT_HIGH_T,GERMANY,10,11,23.65296803652969
HEAT_HIGH_T,GERMANY,10,12,23.65296803652969
HEAT_HIGH_T,GERMANY,11,1,23.65296803652969
HEAT_HIGH_T,GERMANY,11,2,23.65296803652969
HEAT_HIGH_T,GERMANY,11,3,23.65296803652969
HEAT_HIGH_T,GERMANY,11,4,23.65296803652969
HEAT_HIGH_T,GERMANY,11,5,23.65296803652969
HEAT_HIGH_T,GERMANY,11,6,23.65296803652969
HEAT_HIGH_T,GERMANY,11,7,23.65296803652969
HEAT_HIGH_T,GERMANY,11,8,23.65296803652969
HEAT_HIGH_T,GERMANY,11,9,23.65296803652969
HEAT_HIGH_T,GERMANY,11,10,23.65296803652969
HEAT_HIGH_T,GERMANY,11,11,23.65296803652969
HEAT_HIGH_T,GERMANY,11,12,23.65296803652969
HEAT_HIGH_T,GERMANY,12,1,23.65296803652969
HEAT_HIGH_T,GERMANY,12,2,23.65296803652969
HEAT_HIGH_T,GERMANY,12,3,23.65296803652969
HEAT_HIGH_T,GERMANY,12,4,23.65296803652969
HEAT_HIGH_T,GERMANY,12,5,23.65296803652969
HEAT_HIGH_T,GERMANY,12,6,23.65296803652969
HEAT_HIGH_T,GERMANY,12,7,23.65296803652969
HEAT_HIGH_T,GERMANY,12,8,23.65296803652969
HEAT_HIGH_T,GERMANY,12,9,23.65296803652969
HEAT_HIGH_T,GERMANY,12,10,23.65296803652969
HEAT_HIGH_T,GERMANY,12,11,23.65296803652969
HEAT_HIGH_T,GERMANY,12,12,23.65296803652969
HEAT_HIGH_T,GERMANY,13,1,23.65296803652969
HEAT_HIGH_T,GERMANY,13,2,23.65296803652969
HEAT_HIGH_T,GERMANY,13,3,23.65296803652969
HEAT_HIGH_T,GERMANY,13,4,23.65296803652969
HEAT_HIGH_T,GERMANY,13,5,23.65296803652969
HEAT_HIGH_T,GERMANY,13,6,23.65296803652969
HEAT_HIGH_T,GERMANY,13,7,23.65296803652969
HEAT_HIGH_T,GERMANY,13,8,23.65296803652969
HEAT_HIGH_T,GERMANY,13,9,23.65296803652969
HEAT_HIGH_T,GERMANY,13,10,23.65296803652969
HEAT_HIGH_T,GERMANY,13,11,23.65296803652969
HEAT_HIGH_T,GERMANY,13,12,23.65296803652969
HEAT_HIGH_T,GERMANY,14,1,23.65296803652969
HEAT_HIGH_T,GERMANY,14,2,23.65296803652969
HEAT_HIGH_T,GERMANY,14,3,23.65296803652969
HEAT_HIGH_T,GERMANY,14,4,23.65296803652969
HEAT_HIGH_T,GERMANY,14,5,23.65296803652969
HEAT_HIGH_T,GERMANY,14,6,23.65296803652969
HEAT_HIGH_T,GERMANY,14,7,23.65296803652969
HEAT_HIGH_T,GERMANY,14,8,23.65296803652969
