k,ct,n,h,td,D
1,HEAT_HIGH_T,GERMANY,4,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,5,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,6,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,7,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,8,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,9,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,10,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,11,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,12,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,13,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,14,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,15,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,15,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,15,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,15,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,15,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,15,6,22.470319634703202
