pt,p,layers_in_out
DHN_HP_ELEC,RES_WIND,0.0
DHN_HP_ELEC,URANIUM,0.0
DHN_HP_ELEC,WASTE,0.0
DHN_HP_ELEC,WET_BIOMASS,0.0
DHN_HP_ELEC,WOOD,0.0
DHN_SOLAR,AMMONIA,0.0
DHN_SOLAR,COAL,0.0
DHN_SOLAR,ELECTRICITY,0.0
DHN_SOLAR,GAS,0.0
DHN_SOLAR,H2,0.0
DHN_SOLAR,HEAT_HIGH_T,0.0
DHN_SOLAR,HEAT_LOW_T_DECEN,0.0
DHN_SOLAR,HEAT_LOW_T_DHN,1.0
DHN_SOLAR,LFO,0.0
DHN_SOLAR,RES_GEO,0.0
DHN_SOLAR,RES_HYDRO,0.0
DHN_SOLAR,RES_SOLAR,-1.0
DHN_SOLAR,RES_WIND,0.0
DHN_SOLAR,URANIUM,0.0
DHN_SOLAR,WASTE,0.0
DHN_SOLAR,WET_BIOMASS,0.0
DHN_SOLAR,WOOD,0.0
GEOTHERMAL,AMMONIA,0.0
GEOTHERMAL,COAL,0.0
GEOTHERMAL,ELECTRICITY,1.0
GEOTHERMAL,GAS,0.0
GEOTHERMAL,H2,0.0
GEOTHERMAL,HEAT_HIGH_T,0.0
GEOTHERMAL,HEAT_LOW_T_DECEN,0.0
GEOTHERMAL,HEAT_LOW_T_DHN,0.0
GEOTHERMAL,LFO,0.0
GEOTHERMAL,RES_GEO,-1.0
GEOTHERMAL,RES_HYDRO,0.0
GEOTHERMAL,RES_SOLAR,0.0
GEOTHERMAL,RES_WIND,0.0
GEOTHERMAL,URANIUM,0.0
GEOTHERMAL,WASTE,0.0
GEOTHERMAL,WET_BIOMASS,0.0
GEOTHERMAL,WOOD,0.0
HYDRO_RIVER,AMMONIA,0.0
HYDRO_RIVER,COAL,0.0
HYDRO_RIVER,ELECTRICITY,1.0
HYDRO_RIVER,GAS,0.0
HYDRO_RIVER,H2,0.0
HYDRO_RIVER,HEAT_HIGH_T,0.0
HYDRO_RIVER,HEAT_LOW_T_DECEN,0.0
HYDRO_RIVER,HEAT_LOW_T_DHN,0.0
HYDRO_RIVER,LFO,0.0
HYDRO_RIVER,RES_GEO,0.0
HYDRO_RIVER,RES_HYDRO,-1.0
HYDRO_RIVER,RES_SOLAR,0.0
HYDRO_RIVER,RES_WIND,0.0
HYDRO_RIVER,URANIUM,0.0
HYDRO_RIVER,WASTE,0.0
HYDRO_RIVER,WET_BIOMASS,0.0
HYDRO_RIVER,WOOD,0.0
IND_BOILER_COAL,AMMONIA,0.0
IND_BOILER_COAL,COAL,-1.22
IND_BOILER_COAL,ELECTRICITY,0.0
IND_BOILER_COAL,GAS,0.0
IND_BOILER_COAL,H2,0.0
IND_BOILER_COAL,HEAT_HIGH_T,1.0
IND_BOILER_COAL,HEAT_LOW_T_DECEN,0.0
IND_BOILER_COAL,HEAT_LOW_T_DHN,0.0
IND_BOILER_COAL,LFO,0.0
IND_BOILER_COAL,RES_GEO,0.0
IND_BOILER_COAL,RES_HYDRO,0.0
IND_BOILER_COAL,RES_SOLAR,0.0
IND_BOILER_COAL,RES_WIND,0.0
IND_BOILER_COAL,URANIUM,0.0
IND_BOILER_COAL,WASTE,0.0
IND_BOILER_COAL,WET_BIOMASS,0.0
IND_BOILER_COAL,WOOD,0.0
IND_BOILER_GAS,AMMONIA,0.0
IND_BOILER_GAS,COAL,0.0
IND_BOILER_GAS,ELECTRICITY,0.0
IND_BOILER_GAS,GAS,-1.08
IND_BOILER_GAS,H2,0.0
IND_BOILER_GAS,HEAT_HIGH_T,1.0
IND_BOILER_GAS,HEAT_LOW_T_DECEN,0.0
IND_BOILER_GAS,HEAT_LOW_T_DHN,0.0
IND_BOILER_GAS,LFO,0.0
IND_BOILER_GAS,RES_GEO,0.0
IND_BOILER_GAS,RES_HYDRO,0.0
IND_BOILER_GAS,RES_SOLAR,0.0
IND_BOILER_GAS,RES_WIND,0.0
IND_BOILER_GAS,URANIUM,0.0
IND_BOILER_GAS,WASTE,0.0
IND_BOILER_GAS,WET_BIOMASS,0.0
IND_BOILER_GAS,WOOD,0.0
IND_BOILER_OIL,AMMONIA,0.0
IND_BOILER_OIL,COAL,0.0
IND_BOILER_OIL,ELECTRICITY,0.0
IND_BOILER_OIL,GAS,0.0
IND_BOILER_OIL,H2,0.0
IND_BOILER_OIL,HEAT_HIGH_T,1.0
IND_BOILER_OIL,HEAT_LOW_T_DECEN,0.0
IND_BOILER_OIL,HEAT_LOW_T_DHN,0.0
IND_BOILER_OIL,LFO,-1.15
IND_BOILER_OIL,RES_GEO,0.0
IND_BOILER_OIL,RES_HYDRO,0.0
IND_BOILER_OIL,RES_SOLAR,0.0
IND_BOILER_OIL,RES_WIND,0.0
IND_BOILER_OIL,URANIUM,0.0
IND_BOILER_OIL,WASTE,0.0
IND_BOILER_OIL,WET_BIOMASS,0.0
IND_BOILER_OIL,WOOD,0.0
IND_BOILER_WASTE,AMMONIA,0.0
IND_BOILER_WASTE,COAL,0.0
IND_BOILER_WASTE,ELECTRICITY,0.0
IND_BOILER_WASTE,GAS,0.0
IND_BOILER_WASTE,H2,0.0
IND_BOILER_WASTE,HEAT_HIGH_T,1.0
IND_BOILER_WASTE,HEAT_LOW_T_DECEN,0.0
IND_BOILER_WASTE,HEAT_LOW_T_DHN,0.0
IND_BOILER_WASTE,LFO,0.0
IND_BOILER_WASTE,RES_GEO,0.0
IND_BOILER_WASTE,RES_HYDRO,0.0
IND_BOILER_WASTE,RES_SOLAR,0.0
IND_BOILER_WASTE,RES_WIND,0.0
IND_BOILER_WASTE,URANIUM,0.0
IND_BOILER_WASTE,WASTE,-1.22
IND_BOILER_WASTE,WET_BIOMASS,0.0
IND_BOILER_WASTE,WOOD,0.0
IND_BOILER_WOOD,AMMONIA,0.0
IND_BOILER_WOOD,COAL,0.0
IND_BOILER_WOOD,ELECTRICITY,0.0
IND_BOILER_WOOD,GAS,0.0
IND_BOILER_WOOD,H2,0.0
IND_BOILER_WOOD,HEAT_HIGH_T,1.0
IND_BOILER_WOOD,HEAT_LOW_T_DECEN,0.0
IND_BOILER_WOOD,HEAT_LOW_T_DHN,0.0
IND_BOILER_WOOD,LFO,0.0
IND_BOILER_WOOD,RES_GEO,0.0
IND_BOILER_WOOD,RES_HYDRO,0.0
IND_BOILER_WOOD,RES_SOLAR,0.0
IND_BOILER_WOOD,RES_WIND,0.0
IND_BOILER_WOOD,URANIUM,0.0
IND_BOILER_WOOD,WASTE,0.0
IND_BOILER_WOOD,WET_BIOMASS,0.0
IND_BOILER_WOOD,WOOD,-1.16
IND_COGEN_GAS,AMMONIA,0.0
IND_COGEN_GAS,COAL,0.0
IND_COGEN_GAS,ELECTRICITY,0.96
IND_COGEN_GAS,GAS,-2.17
IND_COGEN_GAS,H2,0.0
IND_COGEN_GAS,HEAT_HIGH_T,1.0
